trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9950124791926823}",20,0,-221.43658575120995,"{0: 7, 1: 6, 2: 2, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-62.83525493849919,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9851119396030626}",30,8,-59.67218358428321,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,2,-133.23491526280068,"{0: 8, 1: 2, 2: 6, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.9753099120283326}",25,0,-61.69929249132525,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-119.87992709571564,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9656054162575665}",20,0,-97.86683526638247,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-133.6688121261919,"{0: 15, 1: 5, 2: 1, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9559974818331}",20,0,-131.50527558189643,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-100.5435641692981,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9464851479534838}",20,0,-32.53766473975458,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-115.50130837651899,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9370674633774034}",20,0,-94.71618182179303,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-75.74966948940246,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9277434863285529}",25,0,-133.4239357107778,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-74.44435285721073,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9185122844014574}",20,0,-66.81188851361495,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-50.80282304497992,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9093729344682314}",25,0,-110.6685123657262,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-82.07637265426158,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
