trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",20,0,-118.56287152172808,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1}",20,0,-136.7962742161106,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1}",30,0,-164.05107912197357,"{0: 18, 1: 7, 2: 1, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1}",20,0,-85.10074090783722,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1}",20,12,-22.959505837459297,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1}",30,0,-131.50298909731205,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1}",30,0,-133.1616412907873,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1}",20,0,-119.34791593356299,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1}",35,0,-183.10817472143137,"{0: 20, 1: 3, 2: 9, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1}",25,0,-55.55198145790231,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1}",25,0,-171.4313411079605,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1}",30,0,-252.18646460041498,"{0: 16, 1: 4, 2: 3, 3: 3, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1}",30,0,-105.37524113376448,"{0: 17, 1: 3, 2: 9, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1}",35,0,-120.55567285372194,"{0: 22, 1: 1, 2: 10, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1}",25,0,-85.37165590160748,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1}",20,0,-91.35951644591051,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1}",20,0,-185.96196332787662,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1}",20,0,-113.90424570384427,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1}",20,11,-37.07752442398492,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1}",20,0,-129.8242886039686,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-181.35243702376513,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",30,0,-182.92094361872415,"{0: 12, 1: 7, 2: 8, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-24.24571798845666,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,13,-79.33939480664031,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,10,-75.14547753966006,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,0,-85.69051512488195,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-119.05413200540158,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-265.13193995393505,"{0: 9, 1: 7, 2: 4, 3: 0, 4: 5}",0
9,True,"{'a': 0, 'e': 0}",20,0,-82.73037995269696,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,13,-34.83427344800683,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 0}",1
